Ambient Temperature (°C),Sensor Temperature (°C),Error,Controller Output (V(t)),TEC State (ON or OFF)
26,21,5,5, ON
26,21,5,5, ON
26,21,5,5, ON
26,20.99,4.99,5, ON
26,20.97,4.97,5, ON
26,20.78,4.78,5, ON
26,20.38,4.38,5, ON
26,19.88,3.88,5, ON
26,19.33,3.33,5, ON
26,18.76,2.76,5, ON
26,18.18,2.18,5, ON
26,17.59,1.59,5, ON
26,17.01,1.01,5, ON
26,16.45,0.45,5, ON
26,15.9,-0.1,5, ON
26,15.39,-0.61,0, OFF
26,14.76,-1.24,0, OFF
26,14.49,-1.51,0, OFF
26,14.44,-1.56,0, OFF
26,14.48,-1.52,0, OFF
26,14.59,-1.41,0, OFF
26,14.76,-1.24,0, OFF
26,14.94,-1.06,0, OFF
26,15.14,-0.86,0, OFF
26,15.36,-0.64,0, OFF
26,15.57,-0.43,0, OFF
26,15.79,-0.21,0, OFF
26,16.01,0.01,0, OFF
26,16.22,0.22,5, ON
26,16.57,0.57,5, ON
26,16.54,0.54,5, ON
26,16.34,0.34,5, ON
26,16.03,0.03,5, ON
26,15.66,-0.34,0, OFF
26,15.14,-0.86,0, OFF
26,14.96,-1.04,0, OFF
26,14.93,-1.07,0, OFF
26,15.01,-0.99,0, OFF
26,15.14,-0.86,0, OFF
26,15.29,-0.71,0, OFF
26,15.47,-0.53,0, OFF
26,15.66,-0.34,0, OFF
26,15.87,-0.13,0, OFF
26,16.07,0.07,0, OFF
26,16.28,0.28,5, ON
26,16.63,0.63,5, ON
26,16.58,0.58,5, ON
26,16.37,0.37,5, ON
26,16.06,0.06,5, ON
26,15.67,-0.33,0, OFF
26,15.14,-0.86,0, OFF
26,14.97,-1.03,0, OFF
26,14.93,-1.07,0, OFF
26,15,-1,0, OFF
26,15.13,-0.87,0, OFF
26,15.28,-0.72,0, OFF
26,15.46,-0.54,0, OFF
26,15.65,-0.35,0, OFF
26,15.84,-0.16,0, OFF
26,16.05,0.05,0, OFF
26,16.25,0.25,5, ON
26,16.59,0.59,5, ON
26,16.55,0.55,5, ON
26,16.34,0.34,5, ON
26,16.01,0.01,5, ON
26,15.63,-0.37,0, OFF
26,15.1,-0.9,0, OFF
26,14.92,-1.08,0, OFF
26,14.88,-1.12,0, OFF
26,14.96,-1.04,0, OFF
26,15.08,-0.92,0, OFF
26,15.25,-0.75,0, OFF
26,15.42,-0.58,0, OFF
26,15.59,-0.41,0, OFF
26,15.8,-0.2,0, OFF
26,16.01,0.01,0, OFF
26,16.2,0.2,5, ON
26,16.55,0.55,5, ON
26,16.51,0.51,5, ON
26,16.3,0.3,5, ON
26,15.98,-0.02,5, ON
26,15.61,-0.39,0, OFF
26,15.08,-0.92,0, OFF
26,14.88,-1.12,0, OFF
26,14.85,-1.15,0, OFF
26,14.93,-1.07,0, OFF
26,15.05,-0.95,0, OFF
26,15.21,-0.79,0, OFF
26,15.38,-0.62,0, OFF
26,15.57,-0.43,0, OFF
26,15.76,-0.24,0, OFF
26,15.97,-0.03,0, OFF
26,16.18,0.18,5, ON
26,16.53,0.53,5, ON
26,16.47,0.47,5, ON
26,16.26,0.26,5, ON
26,15.93,-0.07,5, ON
26,15.56,-0.44,0, OFF
26,15.04,-0.96,0, OFF
26,14.85,-1.15,0, OFF
26,14.82,-1.18,0, OFF
26,14.89,-1.11,0, OFF
26,15.01,-0.99,0, OFF
26,15.17,-0.83,0, OFF
26,15.35,-0.65,0, OFF
26,15.52,-0.48,0, OFF
26,15.73,-0.27,0, OFF
26,15.93,-0.07,0, OFF
26,16.13,0.13,5, ON
26,16.48,0.48,5, ON
26,16.44,0.44,5, ON
26,16.23,0.23,5, ON
26,15.91,-0.09,5, ON
26,15.53,-0.47,0, OFF
26,14.99,-1.01,0, OFF
26,14.82,-1.18,0, OFF
26,14.79,-1.21,0, OFF
26,14.86,-1.14,0, OFF
26,14.98,-1.02,0, OFF
26,15.13,-0.87,0, OFF
26,15.32,-0.68,0, OFF
26,15.5,-0.5,0, OFF
26,15.69,-0.31,0, OFF
26,15.9,-0.1,0, OFF
26,16.1,0.1,0, OFF
26,16.31,0.31,5, ON
26,16.65,0.65,5, ON
26,16.6,0.6,5, ON
26,16.38,0.38,5, ON
26,16.05,0.05,5, ON
26,15.67,-0.33,0, OFF
26,15.12,-0.88,0, OFF
26,14.94,-1.06,0, OFF
26,14.91,-1.09,0, OFF
26,14.97,-1.03,0, OFF
26,15.08,-0.92,0, OFF
26,15.24,-0.76,0, OFF
26,15.4,-0.6,0, OFF
26,15.58,-0.42,0, OFF
26,15.78,-0.22,0, OFF
26,15.98,-0.02,0, OFF
26,16.18,0.18,5, ON
26,16.51,0.51,5, ON
26,16.48,0.48,5, ON
26,16.25,0.25,5, ON
26,15.93,-0.07,5, ON
26,15.55,-0.45,0, OFF
26,15.01,-0.99,0, OFF
26,14.83,-1.17,0, OFF
26,14.81,-1.19,0, OFF
26,14.87,-1.13,0, OFF
26,14.98,-1.02,0, OFF
26,15.14,-0.86,0, OFF
26,15.32,-0.68,0, OFF
26,15.5,-0.5,0, OFF
26,15.69,-0.31,0, OFF
