Ambient Temperature (°C),Sensor Temperature (°C),Error,Controller Output (V(t)),TEC State (ON or OFF)
20.9,21.13,5.13,5, ON
20.9,21.12,5.12,5, ON
20.9,21.13,5.13,5, ON
20.9,21.11,5.11,5, ON
20.9,21.11,5.11,5, ON
20.9,21.33,5.33,5, ON
20.9,22.01,6.01,5, ON
20.9,23.27,7.27,5, ON
20.9,24.85,8.85,5, ON
20.9,26.54,10.54,5, ON
20.9,26.82,10.82,5, ON
20.9,28.13,12.13,5, ON
20.9,28.3,12.3,5, ON
20.9,28.96,12.96,5, ON
20.9,30.5,14.5,5, ON
20.9,32.81,16.81,5, ON
20.9,35.12,19.12,5, ON
20.9,37.68,21.68,5, ON
20.9,39.15,23.15,5, ON
20.9,37.49,21.49,5, ON
20.9,35.76,19.76,5, ON
20.9,34.35,18.35,5, ON
20.9,33.17,17.17,5, ON
20.9,32.23,16.23,5, ON
20.9,31.46,15.46,5, ON
20.9,30.72,14.72,5, ON
20.9,30,14,5, ON
20.9,29.35,13.35,5, ON
20.9,28.8,12.8,5, ON
20.9,28.36,12.36,5, ON
20.9,27.97,11.97,5, ON
20.9,27.64,11.64,5, ON
20.9,27.38,11.38,5, ON
20.9,27.03,11.03,5, ON
20.9,26.51,10.51,5, ON
20.9,25.87,9.87,5, ON
20.9,25.19,9.19,5, ON
20.9,24.47,8.47,5, ON
20.9,23.75,7.75,5, ON
20.9,23.05,7.05,5, ON
20.9,22.36,6.36,5, ON
20.9,21.65,5.65,5, ON
20.9,20.99,4.99,5, ON
20.9,20.36,4.36,5, ON
20.9,19.73,3.73,5, ON
20.9,19.15,3.15,5, ON
20.9,18.58,2.58,5, ON
20.9,18.05,2.05,5, ON
20.9,17.55,1.55,5, ON
20.9,17.04,1.04,5, ON
20.9,16.59,0.59,5, ON
20.9,16.14,0.14,5, ON
20.9,15.74,-0.26,0, OFF
20.9,15.22,-0.78,0, OFF
20.9,15.05,-0.95,0, OFF
20.9,15.08,-0.92,0, OFF
20.9,15.21,-0.79,0, OFF
20.9,15.4,-0.6,0, OFF
20.9,15.63,-0.37,0, OFF
20.9,15.89,-0.11,0, OFF
20.9,16.19,0.19,5, ON
20.9,16.61,0.61,5, ON
20.9,16.68,0.68,5, ON
20.9,16.58,0.58,5, ON
20.9,16.38,0.38,5, ON
20.9,16.12,0.12,5, ON
20.9,15.84,-0.16,0, OFF
20.9,15.41,-0.59,0, OFF
20.9,15.32,-0.68,0, OFF
20.9,15.38,-0.62,0, OFF
20.9,15.53,-0.47,0, OFF
20.9,15.74,-0.26,0, OFF
20.9,15.97,-0.03,0, OFF
20.9,16.25,0.25,5, ON
20.9,16.64,0.64,5, ON
20.9,16.69,0.69,5, ON
20.9,16.58,0.58,5, ON
20.9,16.38,0.38,5, ON
20.9,16.11,0.11,5, ON
20.9,15.81,-0.19,0, OFF
20.9,15.38,-0.62,0, OFF
20.9,15.29,-0.71,0, OFF
20.9,15.32,-0.68,0, OFF
20.9,15.47,-0.53,0, OFF
20.9,15.65,-0.35,0, OFF
20.9,15.89,-0.11,0, OFF
20.9,16.15,0.15,5, ON
20.9,16.55,0.55,5, ON
20.9,16.61,0.61,5, ON
20.9,16.51,0.51,5, ON
20.9,16.29,0.29,5, ON
20.9,16.02,0.02,5, ON
